job_id,dataset,model,reciprocal,job,job_type,split,epoch,avg_loss,avg_penalty,avg_cost,metric_name,metric,child_folder,child_job_id,train.batch_size,train.type,train.optimizer,train.loss,train.optimizer_args.lr,train.lr_scheduler_args.patience,lookup_embedder.dim,lookup_embedder.initialize,lookup_embedder.regularize,lookup_embedder.regularize_args.weighted,simple.entity_embedder.regularize_weight,simple.relation_embedder.regularize_weight,simple.entity_embedder.dropout,simple.relation_embedder.dropout
027d7ef1,biokg,simple,0,search,KvsAll,valid,30,,,,hits_at_10,0.0775024177949709,1,67dd9646,512,1vsAll,Adam,kl,0.37831229578908604,9,512,uniform_,lp,True,3.9593922971254166e-14,3.513474851384762e-06,0.3293416202068329,0.23821128904819489
027d7ef1,biokg,simple,0,search,1vsAll,valid,30,,,,hits_at_10,0.0012524177949709,0,d488b930,1024,KvsAll,AdamW,kl,0.0004512588483934738,3,128,normal_,,False,3.717968851268401e-05,1.2321677080931414e-20,0.23838811088353395,0.288217113353312
027d7ef1,biokg,simple,0,search,negative_sampling,valid,15,,,,hits_at_10,0.0451402321083172,3,2139c178,1024,1vsAll,RMSprop,bce,0.002513949825825057,7,256,xavier_normal_,lp,True,5.986996630182839e-17,2.1309874941144747e-13,0.3929499941878021,0.004236036445945501
027d7ef1,biokg,simple,0,search,1vsAll,valid,30,,,,hits_at_10,0.0434018375241779,2,ce464526,256,negative_sampling,Adamax,kl,0.07594809510914086,5,256,uniform_,lp,False,8.661711918749666e-07,8.138467445119825e-09,0.05396876763552427,0.4537113937549293
027d7ef1,biokg,simple,0,search,KvsAll,valid,30,,,,hits_at_10,0.0147171179883945,4,75583ec0,256,KvsAll,Adam,bce,0.04495748260534301,8,128,xavier_normal_,lp,True,4.530008673448069e-13,0.08433981168882547,0.4575885245576501,0.3836972457356751
027d7ef1,biokg,simple,0,search,1vsAll,valid,10,,,,hits_at_10,7.011605415860734e-05,5,ec1795ee,512,1vsAll,AdamW,kl,0.01171770877689053,6,512,xavier_uniform_,lp,False,0.004641721112906878,3.839685746999704e-16,0.11102669080719352,0.0899969027377665
027d7ef1,biokg,simple,0,search,negative_sampling,valid,30,,,,hits_at_10,0.079818665377176,6,1da9abe9,1024,negative_sampling,AdamW,bce,0.0020317046212645433,10,256,normal_,lp,True,9.468911428879073e-20,9.907893082972934e-14,0.27324491646140814,0.3743751849979162
027d7ef1,biokg,simple,0,search,negative_sampling,valid,30,,,,hits_at_10,0.033928916827853,7,de29549f,512,negative_sampling,RMSprop,kl,0.23229875609018708,4,512,uniform_,,False,6.303728526482366e-11,4.140695272360524e-09,0.1747414912097156,0.167556744068861
027d7ef1,biokg,simple,0,search,1vsAll,valid,25,,,,hits_at_10,6.286266924564796e-05,8,15159352,256,1vsAll,RMSprop,kl,0.9288541532613703,6,256,xavier_normal_,lp,True,3.381071600933046e-12,1.1673681932300453e-17,0.2822437360882759,0.43632258055731654
027d7ef1,biokg,simple,0,search,negative_sampling,valid,30,,,,hits_at_10,0.0001499032882011,9,4954a14c,1024,negative_sampling,Adam,kl,0.0004997562003272532,8,512,xavier_uniform_,lp,False,0.04850121041382744,0.003056657145526178,0.12905284063890576,0.10353307565674186
